Reference_Number,Shloka,Translation
bg.9.34,मन्मना भव मद्भ‍क्तो मद्याजी मां नमस्कुरु । मामेवैष्यसि युक्त्वैवमात्मानं मत्परायण: ||,"Engage your mind always in thinking of Me, become My devotee, offer obeisances to Me and worship Me. Being completely absorbed in Me, surely you will come to Me."
bg.9.33,किं पुनर्ब्राह्मणा: पुण्या भक्ता राजर्षयस्तथा । अनित्यमसुखं लोकमिमं प्राप्य भजस्व माम् ॥,"How much more this is so of the righteous brāhmaṇas, the devotees and the saintly kings. Therefore, having come to this temporary, miserable world, engage in loving service unto Me."
bg.2.48,योगस्थः कुरु कर्माणि सङ्गं त्यक्त्वा धनञ्जय। सिद्ध्यसिद्ध्योः समो भूत्वा समत्वं योग उच्यते।।,"Perform your duty equipoised, O Arjuna, abandoning all attachment to success or failure. Such equanimity is called yoga."
bg.18.65,मन्मना भव मद्भक्तो मद्याजी मां नमस्कुरु । मामेवैष्यसि सत्यं ते प्रतिजाने प्रियोऽसि मे ॥,"Always think of Me, become My devotee, worship Me and offer your homage unto Me. Thus you will come to Me without fail. I promise you this because you are My very dear friend."
bg.4.38,न हि ज्ञानेन सदृशं पवित्रमिह विद्यते। तत्स्वयं योगसंसिद्धः कालेनात्मनि विन्दति॥,"In this world, there is nothing so sublime and pure as transcendental knowledge. Such knowledge is the mature fruit of all mysticism. And one who has become accomplished in the practice of devotional service enjoys this knowledge within himself in due course of time."
bg.18.66,सर्वधर्मान्परित्यज्य मामेकं शरणं व्रज । अहं त्वां सर्वपापेभ्यो मोक्षयिष्यामि मा श‍ुच: ॥,Abandon all varieties of religion and just surrender unto Me. I shall deliver you from all sinful reactions. Do not fear.
bg.2.21,वेदाविनाशिनं नित्यं य एनमजमव्ययम्‌ । कथं स पुरुषः पार्थ कं घातयति हन्ति कम्‌ ॥,"O Pārtha, how can a person who knows that the soul is indestructible, eternal, unborn and immutable kill anyone or cause anyone to kill?"
bg.2.14,मात्रास्पर्शास्तु कौन्तेय शीतोष्णसुखदुःखदाः । आगमापायिनोऽनित्यास्तांस्तितिक्षस्व भारत ।।,"O son of Kuntī, the nonpermanent appearance of happiness and distress, and their disappearance in due course, are like the appearance and disappearance of winter and summer seasons. They arise from sense perception, O scion of Bharata, and one must learn to tolerate them without being disturbed."
bg.2.47,कर्मण्येवाधिकारस्ते मा फलेषु कदाचन। मा कर्मफलहेतुर्भूर्मा ते सङ्गोऽस्त्वकर्मणि॥,"You have a right to perform your prescribed duty, but you are not entitled to the fruits of action. Never consider yourself the cause of the results of your activities, and never be attached to not doing your duty."
bg.3.19,तस्मादसक्तः सततं कार्यं कर्म समाचर। असक्तो ह्याचरन् कर्म परं आप्नोति पूरुषः।।,"Therefore, without being attached to the fruits of activities, one should act as a matter of duty, for by working without attachment one attains the Supreme."
bg.3.35,श्रेयान् स्वधर्मो विगुणः परधर्मात्स्वनुष्ठितात्। स्वधर्मे निधनं श्रेयः परधर्मो भयावहः॥,"It is far better to discharge one’s prescribed duties, even though faultily, than another’s duties perfectly. Destruction in the course of performing one’s own duty is better than engaging in another’s duties, for to follow another’s path is dangerous."
bg.18.46,यतः प्रवृत्तिर्भूतानां येन सर्वमिदं ततम्। स्वकर्मणा तमभ्यर्च्य सिद्धिं विन्दति मानवः।।,"By worship of the Lord, who is the source of all beings and who is all-pervading, a man can attain perfection through performing his own work."
bg.18.58,मच्चित्तः सर्वदुर्गाणि मत्प्रसादात्तरिष्यसि। अथ चेत्त्वमहङ्कारान्न श्रोष्यसि विनङ्क्ष्यसि॥,"If you become conscious of Me, you will pass over all the obstacles of conditioned life by My grace. If, however, you do not work in such consciousness but act through false ego, not hearing Me, you will be lost."
bg.12.8,मय्येव मन आधत्स्व मयि बुद्धिं निवेशय। निवसिष्यसि मय्येव अत ऊर्ध्वं न संशयः।।,"Just fix your mind upon Me, the Supreme Personality of Godhead, and engage all your intelligence in Me. Thus you will live in Me always, without a doubt."
bg.12.10,अभ्यासे ’प्यसमर्थोऽसि मत्कर्मपरमो भव । मदर्थमपि कर्माणि कुर्वन् सिद्धिमवाप्स्यसि ॥,"If you cannot practice the regulations of bhakti-yoga, then just try to work for Me, because by working for Me you will come to the perfect stage."
sb.11.28.1,परस्वभावकर्माणि न प्रशंसेन्न गर्हयेत् । विश्वमेकात्मकं पश्यन् प्रकृत्या पुरुषेण च ॥,"The Supreme Personality of Godhead said: One should neither praise nor criticize the conditioned nature and activities of other persons. Rather, one should see this world as simply the combination of material nature and the enjoying souls, all based on the one Absolute Truth."
sb.11.28.2,परस्वभावकर्माणि य: प्रशंसति निन्दति । स आशु भ्रश्यते स्वार्थादसत्यभिनिवेशत: ॥,Whoever indulges in praising or criticizing the qualities and behavior of others will quickly become deviated from his own best interest by his entanglement in illusory dualities.
sb.11.28.3,तैजसे निद्रयापन्ने पिण्डस्थो नष्टचेतन: । मायां प्राप्नोति मृत्युं वा तद्वन्नानार्थद‍ृक् पुमान् ॥,"Just as the embodied spirit soul loses external consciousness when his senses are overcome by the illusion of dreaming or the deathlike state of deep sleep, so a person experiencing material duality must encounter illusion and death."
